utterance_lst	utterance_str
['pizza', 'toast', 'boy', 'letter']	pizza toast boy letter
['man', 'coffee', 'package', 'woman']	man coffee package woman
['tea', 'soup', 'man', 'toast']	tea soup man toast
['sugar', 'pizza', 'sugar', 'boy']	sugar pizza sugar boy
['girl', 'woman', 'coffee', 'package']	girl woman coffee package
['tea', 'book', 'toast', 'book']	tea book toast book
['woman', 'eggs', 'sugar', 'sugar']	woman eggs sugar sugar
['pizza', 'woman', 'eggs', 'girl']	pizza woman eggs girl
['eggs', 'letter', 'boy', 'package']	eggs letter boy package
['package', 'man', 'toast', 'coffee']	package man toast coffee
['man', 'pizza', 'package', 'woman']	man pizza package woman
['tea', 'woman', 'tea', 'package']	tea woman tea package
['girl', 'man', 'woman', 'tea']	girl man woman tea
['man', 'woman', 'coffee', 'package']	man woman coffee package
['pizza', 'toast', 'soup', 'woman']	pizza toast soup woman
['tea', 'boy', 'soup', 'gift']	tea boy soup gift
['man', 'tea', 'soup', 'boy']	man tea soup boy
['eggs', 'gift', 'gift', 'woman']	eggs gift gift woman
['sugar', 'gift', 'girl', 'soup']	sugar gift girl soup
['man', 'toast', 'sugar', 'tea']	man toast sugar tea
['book', 'woman', 'toast', 'letter']	book woman toast letter
['tea', 'pizza', 'pizza', 'gift']	tea pizza pizza gift
['tea', 'man', 'book', 'eggs']	tea man book eggs
['pizza', 'girl', 'pizza', 'eggs']	pizza girl pizza eggs
['woman', 'soup', 'woman', 'book']	woman soup woman book
['man', 'book', 'letter', 'coffee']	man book letter coffee
['sugar', 'girl', 'book', 'pizza']	sugar girl book pizza
['girl', 'gift', 'pizza', 'toast']	girl gift pizza toast
['letter', 'toast', 'sugar', 'boy']	letter toast sugar boy
['letter', 'girl', 'man', 'gift']	letter girl man gift
['boy', 'gift', 'gift', 'soup']	boy gift gift soup
['man', 'man', 'girl', 'toast']	man man girl toast
['soup', 'gift', 'toast', 'boy']	soup gift toast boy
['tea', 'boy', 'woman', 'tea']	tea boy woman tea
