utterance_str	utterance_lst
letter man boy mailed	['letter', 'man', 'boy', 'mailed']
letter mailed man boy	['letter', 'mailed', 'man', 'boy']
letter boy mailed man	['letter', 'boy', 'mailed', 'man']
package man boy mailed	['package', 'man', 'boy', 'mailed']
package mailed man boy	['package', 'mailed', 'man', 'boy']
package boy mailed man	['package', 'boy', 'mailed', 'man']
gift man boy mailed	['gift', 'man', 'boy', 'mailed']
gift mailed man boy	['gift', 'mailed', 'man', 'boy']
gift boy mailed man	['gift', 'boy', 'mailed', 'man']
letter man girl mailed	['letter', 'man', 'girl', 'mailed']
letter mailed man girl	['letter', 'mailed', 'man', 'girl']
letter girl mailed man	['letter', 'girl', 'mailed', 'man']
package man girl mailed	['package', 'man', 'girl', 'mailed']
package mailed man girl	['package', 'mailed', 'man', 'girl']
package girl mailed man	['package', 'girl', 'mailed', 'man']
gift man girl mailed	['gift', 'man', 'girl', 'mailed']
gift mailed man girl	['gift', 'mailed', 'man', 'girl']
gift girl mailed man	['gift', 'girl', 'mailed', 'man']
letter woman boy mailed	['letter', 'woman', 'boy', 'mailed']
letter mailed woman boy	['letter', 'mailed', 'woman', 'boy']
letter boy mailed woman	['letter', 'boy', 'mailed', 'woman']
package woman boy mailed	['package', 'woman', 'boy', 'mailed']
package mailed woman boy	['package', 'mailed', 'woman', 'boy']
package boy mailed woman	['package', 'boy', 'mailed', 'woman']
gift woman boy mailed	['gift', 'woman', 'boy', 'mailed']
gift mailed woman boy	['gift', 'mailed', 'woman', 'boy']
gift boy mailed woman	['gift', 'boy', 'mailed', 'woman']
letter woman girl mailed	['letter', 'woman', 'girl', 'mailed']
letter mailed woman girl	['letter', 'mailed', 'woman', 'girl']
letter girl mailed woman	['letter', 'girl', 'mailed', 'woman']
package woman girl mailed	['package', 'woman', 'girl', 'mailed']
package mailed woman girl	['package', 'mailed', 'woman', 'girl']
package girl mailed woman	['package', 'girl', 'mailed', 'woman']
gift woman girl mailed	['gift', 'woman', 'girl', 'mailed']
gift mailed woman girl	['gift', 'mailed', 'woman', 'girl']
gift girl mailed woman	['gift', 'girl', 'mailed', 'woman']
eggs man boy fed	['eggs', 'man', 'boy', 'fed']
eggs fed man boy	['eggs', 'fed', 'man', 'boy']
eggs boy fed man	['eggs', 'boy', 'fed', 'man']
toast man boy fed	['toast', 'man', 'boy', 'fed']
toast fed man boy	['toast', 'fed', 'man', 'boy']
toast boy fed man	['toast', 'boy', 'fed', 'man']
pizza man boy fed	['pizza', 'man', 'boy', 'fed']
pizza fed man boy	['pizza', 'fed', 'man', 'boy']
pizza boy fed man	['pizza', 'boy', 'fed', 'man']
soup man boy fed	['soup', 'man', 'boy', 'fed']
soup fed man boy	['soup', 'fed', 'man', 'boy']
soup boy fed man	['soup', 'boy', 'fed', 'man']
sugar man boy fed	['sugar', 'man', 'boy', 'fed']
sugar fed man boy	['sugar', 'fed', 'man', 'boy']
sugar boy fed man	['sugar', 'boy', 'fed', 'man']
eggs man girl fed	['eggs', 'man', 'girl', 'fed']
eggs fed man girl	['eggs', 'fed', 'man', 'girl']
eggs girl fed man	['eggs', 'girl', 'fed', 'man']
toast man girl fed	['toast', 'man', 'girl', 'fed']
toast fed man girl	['toast', 'fed', 'man', 'girl']
toast girl fed man	['toast', 'girl', 'fed', 'man']
pizza man girl fed	['pizza', 'man', 'girl', 'fed']
pizza fed man girl	['pizza', 'fed', 'man', 'girl']
pizza girl fed man	['pizza', 'girl', 'fed', 'man']
soup man girl fed	['soup', 'man', 'girl', 'fed']
soup fed man girl	['soup', 'fed', 'man', 'girl']
soup girl fed man	['soup', 'girl', 'fed', 'man']
sugar man girl fed	['sugar', 'man', 'girl', 'fed']
