utterance_lst	utterance_str
[17, 13, 5, 32]	17 13 5 32
[0, 18, 33, 2]	0 18 33 2
[20, 22, 1, 14]	20 22 1 14
[26, 16, 26, 5]	26 16 26 5
[8, 4, 18, 34]	8 4 18 34
[21, 28, 14, 27]	21 28 14 27
[3, 10, 24, 26]	3 10 24 26
[15, 3, 9, 7]	15 3 9 7
[10, 29, 7, 32]	10 29 7 32
[32, 2, 14, 18]	32 2 14 18
[0, 15, 33, 4]	0 15 33 4
[22, 4, 21, 33]	22 4 21 33
[7, 0, 3, 19]	7 0 3 19
[0, 3, 18, 34]	0 3 18 34
[15, 14, 23, 3]	15 14 23 3
[21, 6, 22, 35]	21 6 22 35
[2, 20, 22, 5]	2 20 22 5
[9, 36, 36, 4]	9 36 36 4
[26, 35, 8, 22]	26 35 8 22
[1, 13, 24, 21]	1 13 24 21
[28, 3, 12, 31]	28 3 12 31
[21, 16, 14, 36]	21 16 14 36
[21, 0, 29, 12]	21 0 29 12
[16, 7, 16, 12]	16 7 16 12
[3, 23, 3, 29]	3 23 3 29
[0, 28, 29, 18]	0 28 29 18
[26, 9, 27, 15]	26 9 27 15
[8, 35, 14, 13]	8 35 14 13
[31, 13, 24, 6]	31 13 24 6
[31, 9, 1, 36]	31 9 1 36
[6, 35, 36, 22]	6 35 36 22
[0, 2, 7, 14]	0 2 7 14
[22, 35, 13, 5]	22 35 13 5
[20, 5, 3, 20]	20 5 3 20
[25, 2, 16, 26]	25 2 16 26
[28, 14, 32, 6]	28 14 32 6
[26, 28, 32, 18]	26 28 32 18
[3, 1, 19, 6]	3 1 19 6
[23, 3, 28, 8]	23 3 28 8
[0, 6, 16, 20]	0 6 16 20
[14, 6, 17, 35]	14 6 17 35
[19, 34, 1, 36]	19 34 1 36
[32, 20, 19, 19]	32 20 19 19
[33, 2, 23, 20]	33 2 23 20
[11, 26, 26, 3]	11 26 26 3
[25, 16, 18, 23]	25 16 18 23
[1, 22, 13, 32]	1 22 13 32
