utterance_str	utterance_lst	orig_utterance_str	orig_utterance_lst
man eggs boy letter	['man', 'eggs', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man toast boy letter	['man', 'toast', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man pizza boy letter	['man', 'pizza', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man coffee boy letter	['man', 'coffee', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man tea boy letter	['man', 'tea', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man soup boy letter	['man', 'soup', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man sugar boy letter	['man', 'sugar', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man book boy letter	['man', 'book', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man letter boy letter	['man', 'letter', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man package boy letter	['man', 'package', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man gift boy letter	['man', 'gift', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man eggs boy package	['man', 'eggs', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man toast boy package	['man', 'toast', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man pizza boy package	['man', 'pizza', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man coffee boy package	['man', 'coffee', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man tea boy package	['man', 'tea', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man soup boy package	['man', 'soup', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man sugar boy package	['man', 'sugar', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man book boy package	['man', 'book', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man letter boy package	['man', 'letter', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man package boy package	['man', 'package', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man gift boy package	['man', 'gift', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man eggs boy gift	['man', 'eggs', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man toast boy gift	['man', 'toast', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man pizza boy gift	['man', 'pizza', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man coffee boy gift	['man', 'coffee', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man tea boy gift	['man', 'tea', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man soup boy gift	['man', 'soup', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man sugar boy gift	['man', 'sugar', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man book boy gift	['man', 'book', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man letter boy gift	['man', 'letter', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man package boy gift	['man', 'package', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man gift boy gift	['man', 'gift', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man eggs girl letter	['man', 'eggs', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man toast girl letter	['man', 'toast', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man pizza girl letter	['man', 'pizza', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man coffee girl letter	['man', 'coffee', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man tea girl letter	['man', 'tea', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man soup girl letter	['man', 'soup', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man sugar girl letter	['man', 'sugar', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man book girl letter	['man', 'book', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man letter girl letter	['man', 'letter', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man package girl letter	['man', 'package', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man gift girl letter	['man', 'gift', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man eggs girl package	['man', 'eggs', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man toast girl package	['man', 'toast', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man pizza girl package	['man', 'pizza', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man coffee girl package	['man', 'coffee', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man tea girl package	['man', 'tea', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man soup girl package	['man', 'soup', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man sugar girl package	['man', 'sugar', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man book girl package	['man', 'book', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man letter girl package	['man', 'letter', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man package girl package	['man', 'package', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man gift girl package	['man', 'gift', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man eggs girl gift	['man', 'eggs', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man toast girl gift	['man', 'toast', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man pizza girl gift	['man', 'pizza', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man coffee girl gift	['man', 'coffee', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man tea girl gift	['man', 'tea', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man soup girl gift	['man', 'soup', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man sugar girl gift	['man', 'sugar', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man book girl gift	['man', 'book', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man letter girl gift	['man', 'letter', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man package girl gift	['man', 'package', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man gift girl gift	['man', 'gift', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
woman eggs boy letter	['woman', 'eggs', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman toast boy letter	['woman', 'toast', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman pizza boy letter	['woman', 'pizza', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman coffee boy letter	['woman', 'coffee', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman tea boy letter	['woman', 'tea', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman soup boy letter	['woman', 'soup', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman sugar boy letter	['woman', 'sugar', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman book boy letter	['woman', 'book', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman letter boy letter	['woman', 'letter', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman package boy letter	['woman', 'package', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman gift boy letter	['woman', 'gift', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman eggs boy package	['woman', 'eggs', 'boy', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
