utterance_str	utterance_lst	orig_utterance_str	orig_utterance_lst
man mailed eggs letter	['man', 'mailed', 'eggs', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed toast letter	['man', 'mailed', 'toast', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed pizza letter	['man', 'mailed', 'pizza', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed coffee letter	['man', 'mailed', 'coffee', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed tea letter	['man', 'mailed', 'tea', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed soup letter	['man', 'mailed', 'soup', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed sugar letter	['man', 'mailed', 'sugar', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed book letter	['man', 'mailed', 'book', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed letter letter	['man', 'mailed', 'letter', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed package letter	['man', 'mailed', 'package', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed gift letter	['man', 'mailed', 'gift', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man mailed eggs package	['man', 'mailed', 'eggs', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed toast package	['man', 'mailed', 'toast', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed pizza package	['man', 'mailed', 'pizza', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed coffee package	['man', 'mailed', 'coffee', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed tea package	['man', 'mailed', 'tea', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed soup package	['man', 'mailed', 'soup', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed sugar package	['man', 'mailed', 'sugar', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed book package	['man', 'mailed', 'book', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed letter package	['man', 'mailed', 'letter', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed package package	['man', 'mailed', 'package', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed gift package	['man', 'mailed', 'gift', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man mailed eggs gift	['man', 'mailed', 'eggs', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man mailed toast gift	['man', 'mailed', 'toast', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man mailed pizza gift	['man', 'mailed', 'pizza', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man mailed coffee gift	['man', 'mailed', 'coffee', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man mailed tea gift	['man', 'mailed', 'tea', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man mailed soup gift	['man', 'mailed', 'soup', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man mailed sugar gift	['man', 'mailed', 'sugar', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
