utterance_str	utterance_lst	orig_utterance_str	orig_utterance_lst
man took boy letter	['man', 'took', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man drank boy letter	['man', 'drank', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man borrowed boy letter	['man', 'borrowed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man ate boy letter	['man', 'ate', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man took boy package	['man', 'took', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man drank boy package	['man', 'drank', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man borrowed boy package	['man', 'borrowed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man ate boy package	['man', 'ate', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man took boy gift	['man', 'took', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man drank boy gift	['man', 'drank', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man borrowed boy gift	['man', 'borrowed', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man ate boy gift	['man', 'ate', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man took girl letter	['man', 'took', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man drank girl letter	['man', 'drank', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man borrowed girl letter	['man', 'borrowed', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man ate girl letter	['man', 'ate', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man took girl package	['man', 'took', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man drank girl package	['man', 'drank', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man borrowed girl package	['man', 'borrowed', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man ate girl package	['man', 'ate', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man took girl gift	['man', 'took', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man drank girl gift	['man', 'drank', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man borrowed girl gift	['man', 'borrowed', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man ate girl gift	['man', 'ate', 'girl', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
woman took boy letter	['woman', 'took', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman drank boy letter	['woman', 'drank', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman borrowed boy letter	['woman', 'borrowed', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman ate boy letter	['woman', 'ate', 'boy', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman took boy package	['woman', 'took', 'boy', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman drank boy package	['woman', 'drank', 'boy', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman borrowed boy package	['woman', 'borrowed', 'boy', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman ate boy package	['woman', 'ate', 'boy', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman took boy gift	['woman', 'took', 'boy', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman drank boy gift	['woman', 'drank', 'boy', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman borrowed boy gift	['woman', 'borrowed', 'boy', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman ate boy gift	['woman', 'ate', 'boy', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman took girl letter	['woman', 'took', 'girl', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman drank girl letter	['woman', 'drank', 'girl', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman borrowed girl letter	['woman', 'borrowed', 'girl', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman ate girl letter	['woman', 'ate', 'girl', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman took girl package	['woman', 'took', 'girl', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman drank girl package	['woman', 'drank', 'girl', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
