utterance_str	utterance_lst	orig_utterance_str	orig_utterance_lst
man slept boy letter	['man', 'slept', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man sat boy letter	['man', 'sat', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man ran boy letter	['man', 'ran', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man blinked boy letter	['man', 'blinked', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
man slept boy package	['man', 'slept', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man sat boy package	['man', 'sat', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man ran boy package	['man', 'ran', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man blinked boy package	['man', 'blinked', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
man slept boy gift	['man', 'slept', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man sat boy gift	['man', 'sat', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man ran boy gift	['man', 'ran', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man blinked boy gift	['man', 'blinked', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man slept girl letter	['man', 'slept', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man sat girl letter	['man', 'sat', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man ran girl letter	['man', 'ran', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man blinked girl letter	['man', 'blinked', 'girl', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man slept girl package	['man', 'slept', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man sat girl package	['man', 'sat', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man ran girl package	['man', 'ran', 'girl', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
