utterance_str	utterance_lst	orig_utterance_str	orig_utterance_lst
eggs mailed boy letter	['eggs', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
toast mailed boy letter	['toast', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
pizza mailed boy letter	['pizza', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
coffee mailed boy letter	['coffee', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
tea mailed boy letter	['tea', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
soup mailed boy letter	['soup', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
sugar mailed boy letter	['sugar', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
book mailed boy letter	['book', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
letter mailed boy letter	['letter', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
package mailed boy letter	['package', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
gift mailed boy letter	['gift', 'mailed', 'boy', 'letter']	man mailed boy letter	['man', 'mailed', 'boy', 'letter']
eggs mailed boy package	['eggs', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
toast mailed boy package	['toast', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
pizza mailed boy package	['pizza', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
coffee mailed boy package	['coffee', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
tea mailed boy package	['tea', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
soup mailed boy package	['soup', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
sugar mailed boy package	['sugar', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
book mailed boy package	['book', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
letter mailed boy package	['letter', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
package mailed boy package	['package', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
gift mailed boy package	['gift', 'mailed', 'boy', 'package']	man mailed boy package	['man', 'mailed', 'boy', 'package']
eggs mailed boy gift	['eggs', 'mailed', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
toast mailed boy gift	['toast', 'mailed', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
pizza mailed boy gift	['pizza', 'mailed', 'boy', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
